mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
W760X350,350,795,384,"21,1","38,1","718,8","718,8",447,487000,12300,33,13900,35600,1870,"8,92",2870,"10,50",1680,"5,02","32,2",51000,3050
W760X314,314,785,384,"19,7","33,5",718,718,402,429000,10900,"32,8",12300,31500,1640,"8,86",2540,"10,40",1180,"5,74","34,5",44600,3020
W760X284,284,780,381,18,"30,2","719,6","719,6",362,383000,9830,"32,5",11100,28000,1470,"8,79",2260,"10,30",874,"6,35","37,7",39200,3020
W760X257,257,772,381,"16,6","27,2","717,6","717,6",328,343000,8870,"32,3",9950,24900,1310,"8,69",2020,"10,20",649,"7,04","40,8",34600,3000
W760X220,220,780,267,"16,5",30,720,720,281,278000,7140,"31,5",8190,9450,710,"5,79",1110,"7,04",604,"4,44","41,6",13300,2570
W760X196,196,770,267,"15,6","25,4","719,2","719,2",250,240000,6230,31,7160,8160,610,"5,72",957,"6,98",405,"5,27","43,9",11300,2540
W760X185,185,767,267,"14,9","23,6","719,8","719,8",235,223000,5820,"30,7",6690,7530,564,"5,66",885,"6,93",333,"5,65","46,2",10400,2540
W760X173,173,762,267,"14,4","21,6","718,8","718,8",221,205000,5390,"30,5",6190,6830,513,"5,56",806,"6,86",268,"6,17","47,8",9370,2530
W760X161,161,757,267,"13,8","19,3","718,4","718,4",205,186000,4900,"30,2",5670,6080,457,"5,46",719,"6,78",208,"6,89","49,6",8300,2520
W760X147,147,754,267,"13,2",17,720,720,187,166000,4410,"29,7",5110,5330,401,"5,33",633,"6,65",157,"7,8","51,9",7200,2520
W760X134,134,749,264,"11,9","15,5",718,718,170,150000,4010,"29,7",4640,4790,362,"5,31",569,"6,60",118,"8,52","57,5",6440,2500
W690X802,802,826,389,50,"89,9","646,2","646,2",1030,1070000,25700,"32,3",31000,87800,4540,"9,27",7160,"11,20",20600,"2,15","12,1",119000,3070
W690X548,548,772,373,"35,1",63,646,646,703,674000,17400,31,20300,54500,2930,"8,84",4570,"10,50",7080,"2,96","17,3",68500,2920
W690X500,500,762,371,32,"57,9","646,2","646,2",640,608000,15900,"30,7",18500,49100,2650,"8,76",4130,"10,40",5450,"3,19","18,9",60700,2920
W690X457,457,752,366,"29,5","53,1","645,8","645,8",582,545000,14500,"30,5",16900,43700,2390,"8,66",3720,"10,30",4200,"3,46","20,6",53400,2870
W690X419,419,744,366,"26,9",49,646,646,536,495000,13300,"30,5",15300,39700,2180,"8,61",3380,"10,20",3310,"3,72","22,5",47800,2870
W690X384,384,737,363,"24,9",45,647,647,491,450000,12200,"30,2",14000,35800,1970,"8,53",3060,"10,10",2560,"4,03","24,4",42700,2840
W690X350,350,729,361,"23,1","40,9","647,2","647,2",448,404000,11100,30,12700,32000,1770,"8,46",2750,"9,96",1960,"4,41","26,2",37900,2820
W690X323,323,721,358,"21,1","38,1","644,8","644,8",412,371000,10300,30,11700,29300,1640,"8,43",2520,"9,88",1570,"4,71","28,7",34400,2790
W690X289,289,714,356,"19,1",34,646,646,368,327000,9160,"29,7",10300,25800,1440,"8,36",2230,"9,78",1130,"5,24","31,8",29800,2770
W690X265,265,706,358,"18,4","30,2","645,6","645,6",339,292000,8280,"29,5",9340,23100,1290,"8,26",2000,"9,73",837,"5,92","32,9",26400,2770
W690X240,240,701,356,"16,8","27,4","646,2","646,2",307,263000,7510,"29,2",8440,20700,1160,"8,2",1790,"9,63",629,"6,49","36,1",23400,2770
W690X217,217,696,356,"15,4","24,8","646,4","646,4",279,236000,6780,"29,2",7600,18400,1040,"8,13",1600,"9,55",470,"7,16","39,4",20700,2740
W690X192,192,701,254,"15,5","27,9","645,2","645,2",244,198000,5650,"28,4",6470,7660,603,"5,61",944,"6,76",462,"4,55","39,7",8730,2360
W690X170,170,693,257,"14,5","23,6","645,8","645,8",217,170000,4900,"27,9",5620,6620,516,"5,54",808,"6,73",305,"5,41","42,5",7410,2360
W690X152,152,688,254,"13,1","21,1","645,8","645,8",194,151000,4380,"27,9",5000,5790,456,"5,46",711,"6,65",220,"6,03","47,1",6440,2340
W690X140,140,683,254,"12,4","18,9","645,2","645,2",178,136000,3980,"27,7",4560,5160,406,"5,38",636,"6,58",168,"6,7","49,5",5720,2330
W690X125,125,678,254,"11,7","16,3","645,4","645,4",159,119000,3490,"27,2",4000,4410,347,"5,26",544,"6,45",117,"7,78","52,7",4810,2320
W610X551,551,711,348,"38,6","69,1","572,8","572,8",703,558000,15700,"28,2",18500,48300,2790,"8,31",4380,"9,96",8370,"2,51","14,2",49900,2720
W610X498,498,699,343,"35,1",63,573,573,634,495000,14200,"27,9",16700,42900,2490,"8,2",3900,"9,80",6330,"2,73","15,6",43200,2670
W610X455,455,688,340,32,"57,9","572,2","572,2",579,445000,12900,"27,7",15100,38300,2250,"8,13",3510,"9,68",4870,"2,94","17,1",38100,2640
W610X415,415,678,338,"29,5","53,1","571,8","571,8",528,400000,11800,"27,4",13700,34300,2030,"8,05",3160,"9,55",3770,"3,18","18,6",33600,2620
W610X372,372,668,335,"26,4",48,572,572,474,353000,10600,"27,2",12200,30100,1800,"7,98",2800,"9,42",2770,"3,49","20,7",29000,2590
W610X341,341,660,333,"24,4","43,9","572,2","572,2",434,318000,9640,"27,2",11100,27100,1630,"7,9",2520,"9,32",2140,"3,79","22,5",25800,2590
W610X307,307,653,330,"22,1","39,9","573,2","573,2",392,284000,8700,"26,9",9930,24100,1460,"7,82",2250,"9,19",1590,"4,14","24,8",22600,2570
W610X285,285,648,330,"20,6","37,1","573,8","573,8",365,261000,8050,"26,7",9160,22100,1340,"7,8",2060,"9,14",1280,"4,43","26,6",20500,2570
W610X262,262,640,328,"19,1",34,572,572,334,236000,7370,"26,7",8370,19900,1220,"7,72",1880,"9,07",995,"4,81","28,7",18400,2530
W610X241,241,635,330,"17,9",31,573,573,308,215000,6780,"26,4",7670,18400,1120,"7,75",1720,"9,07",770,"5,31","30,6",16800,2530
W610X217,217,627,328,"16,5","27,7","571,6","571,6",277,191000,6080,"26,2",6850,16300,991,"7,65",1530,"8,97",558,"5,92","33,2",14700,2510
W610X195,195,622,328,"15,4","24,4","573,2","573,2",249,167000,5390,"25,9",6060,14200,869,"7,54",1340,"8,86",395,"6,7","35,6",12600,2500
W610X174,174,617,325,14,"21,6","573,8","573,8",222,147000,4770,"25,7",5360,12400,762,"7,47",1170,"8,79",280,"7,53","39,2",11000,2480
W610X155,155,612,325,"12,7","19,1","573,8","573,8",198,129000,4230,"25,7",4740,10800,667,"7,39",1020,"8,69",196,"8,5","43,1",9450,2480
W610X153,153,622,229,14,"24,9","572,2","572,2",195,125000,4010,"25,4",4590,4950,434,"5,05",680,"6,10",294,"4,59","39,2",4460,2110
W610X140,140,617,230,"13,1","22,2","572,6","572,6",179,112000,3640,"25,1",4160,4540,393,"5,03",615,"6,10",219,"5,18","41,9",4030,2110
W610X125,125,612,229,"11,9","19,6","572,8","572,8",159,98600,3210,"24,9",3670,3930,342,"4,95",534,"6,02",154,"5,86","45,9",3440,2100
W610X113,113,607,228,"11,2","17,3","572,4","572,4",145,87400,2880,"24,6",3280,3430,302,"4,88",469,"5,92",112,"6,61",49,2980,2080
W610X101,101,602,228,"10,5","14,9","572,2","572,2",130,76200,2520,"24,3",2900,2930,257,"4,75",401,"5,84","77,8","7,66",52,2530,2070
W610X92,92,602,179,"10,9",15,572,572,117,64500,2150,"23,4",2510,1440,161,"3,51",257,"4,44","71,2","5,97","50,1",1240,1870
W610X82,82,599,178,10,"12,8","573,4","573,4",105,56200,1870,"23,1",2200,1210,136,"3,4",218,"4,37","49,1","6,94","54,6",1040,1870
W530X300,300,584,320,"23,1","41,4","501,2","501,2",383,221000,7550,"24,1",8690,22600,1410,"7,67",2180,"9,02",1700,"3,86","20,6",16600,2380
W530X272,272,577,318,"21,1","37,6","501,8","501,8",346,197000,6830,"23,9",7800,20100,1270,"7,62",1950,"8,92",1280,"4,22","22,6",14600,2360
W530X248,248,572,315,"19,1","34,5",503,503,315,178000,6230,"23,8",7080,18100,1150,"7,59",1770,"8,84",982,"4,57",25,13000,2340
W530X219,219,561,318,"18,3","29,2","502,6","502,6",279,151000,5390,"23,3",6110,15700,985,"7,49",1520,"8,79",641,"5,44","26,1",11000,2330
W530X196,196,554,315,"16,5","26,4","501,2","501,2",250,134000,4830,"23,2",5460,13900,877,"7,44",1350,"8,71",470,"6,01","28,9",9670,2310
W530X182,182,551,315,"15,2","24,4","502,2","502,2",232,123000,4470,"23,1",5030,12700,806,"7,42",1240,"8,64",374,"6,45","31,3",8780,2310
W530X165,165,546,312,14,"22,2","501,6","501,6",210,111000,4080,23,4570,11400,729,"7,37",1120,"8,56",284,"7,05","34,1",7840,2290
W530X150,150,544,312,"12,7","20,3","503,4","503,4",192,101000,3720,"22,9",4150,10300,660,"7,34",1010,"8,51",217,"7,68","37,5",7040,2290
W530X138,138,549,214,"14,7","23,6","501,8","501,8",176,86200,3150,"22,1",3620,3870,362,"4,67",569,"5,69",251,"4,53","32,3",2670,1900
W530X123,123,544,212,"13,1","21,2","501,6","501,6",157,76200,2800,22,3210,3390,320,"4,65",500,"5,61",181,5,"36,4",2320,1890
W530X109,109,538,211,"11,6","18,8","500,4","500,4",139,66600,2470,"21,9",2820,2940,279,"4,6",436,"5,56",126,"5,6","41,2",1990,1870
W530X101,101,536,210,"10,9","17,4","501,2","501,2",129,61600,2290,"21,8",2620,2690,257,"4,57",400,"5,51",102,"6,04","43,6",1820,1870
W530X92,92,533,209,"10,2","15,6","501,8","501,8",118,55400,2080,"21,7",2360,2390,229,"4,5",356,"5,46","76,2","6,7","46,9",1600,1860
W530X82,82,528,209,"9,53","13,3","501,4","501,4",105,47500,1800,"21,3",2060,2010,193,"4,39",302,"5,36","51,6","7,87",50,1340,1850
W530X72,72,523,207,"8,89","10,9","501,2","501,2",91,39900,1520,"20,9",1750,1610,156,"4,22",244,"5,21","33,4","9,47","53,6",1060,1830
W530X85,85,536,167,"10,3","16,5",503,503,108,48700,1820,"21,2",2110,1270,153,"3,43",243,"4,27","73,7","5,04","46,3",857,1700
W530X74,74,528,166,"9,65","13,6","500,8","500,8","94,8",41000,1550,"20,8",1800,1040,125,"3,3",200,"4,17","47,5","6,1","49,4",690,1680
W530X66,66,526,165,"8,89","11,4","503,2","503,2","83,9",35100,1340,"20,5",1560,862,104,"3,2",167,"4,06",32,"7,22","53,6",567,1670
W460X464,464,566,305,"38,6","69,6","426,8","426,8",591,290000,10200,"22,1",12400,33100,2160,"7,49",3390,"8,97",7330,"2,19","10,4",20500,2250
W460X421,421,556,302,"35,6","63,5",429,429,537,257000,9260,"21,9",11100,29300,1930,"7,39",3030,"8,81",5580,"2,38","11,3",17700,2230
W460X384,384,546,300,"32,5","58,4","429,2","429,2",490,229000,8420,"21,7",10000,26100,1750,"7,32",2720,"8,69",4290,"2,56","12,5",15500,2210
W460X349,349,536,297,"29,5","53,6","428,8","428,8",443,204000,7640,"21,4",9000,23200,1570,"7,24",2440,"8,56",3280,"2,76","13,8",13500,2180
W460X315,315,526,295,"26,9","48,5",429,429,402,180000,6870,"21,2",8030,20500,1400,"7,16",2160,"8,43",2440,"3,02","15,1",11700,2160
W460X286,286,518,292,"24,4","44,5",429,429,363,161000,6230,21,7240,18300,1260,"7,09",1950,"8,33",1860,"3,27","16,7",10200,2140
W460X260,260,508,290,"22,6","40,4","427,2","427,2",332,144000,5640,"20,8",6520,16300,1130,"7,01",1740,"8,23",1410,"3,58",18,8940,2110
W460X235,235,500,287,"20,6","36,6","426,8","426,8",299,127000,5080,"20,6",5830,14400,1010,"6,96",1550,"8,13",1050,"3,92","19,8",7790,2090
W460X213,213,495,284,"18,5","33,5",428,428,271,114000,4620,"20,5",5280,12900,909,"6,91",1400,"8,05",799,"4,25",22,6900,2070
W460X193,193,490,284,17,"30,5",429,429,247,102000,4200,"20,4",4750,11600,818,"6,86",1260,"7,95",604,"4,65","23,9",6100,2070
W460X177,177,483,287,"16,6","26,9","429,2","429,2",226,91200,3790,"20,1",4290,10500,736,"6,83",1130,"7,95",441,"5,31","24,5",5450,2060
W460X158,158,475,284,15,"23,9","427,2","427,2",201,79500,3340,"19,9",3770,9160,646,"6,76",991,"7,87",311,"5,96","27,2",4670,2040
W460X144,144,472,282,"13,6","22,1","427,8","427,8",184,72800,3080,"19,9",3460,8370,592,"6,73",906,"7,82",244,"6,41",30,4240,2030
W460X128,128,467,282,"12,2","19,6","427,8","427,8",163,63700,2720,"19,7",3050,7280,518,"6,68",793,"7,75",171,"7,2","33,4",3650,2020
W460X113,113,462,279,"10,8","17,3","427,4","427,4",144,55400,2390,"19,6",2670,6330,452,"6,63",692,"7,67",118,"8,11","37,8",3140,2000
W460X106,106,470,194,"12,6","20,6","428,8","428,8",135,48700,2080,"19,1",2390,2510,259,"4,32",405,"5,21",145,"4,71","32,4",1260,1670
W460X97,97,467,193,"11,4","19,1","428,8","428,8",123,44500,1920,19,2180,2280,236,"4,29",369,"5,16",114,"5,06","35,7",1140,1670
W460X89,89,462,192,"10,5","17,7","426,6","426,6",114,41000,1770,19,2020,2090,218,"4,27",338,"5,13","90,3","5,44","38,7",1030,1650
W460X82,82,460,191,"9,91",16,428,428,105,37000,1610,"18,8",1840,1870,195,"4,24",303,"5,08","69,1","5,98","41,1",921,1650
W460X74,74,457,191,"9,02","14,5",428,428,"94,8",33300,1460,"18,7",1660,1670,175,"4,19",272,"5,03","51,6","6,57","45,2",816,1640
W460X68,68,460,154,"9,14","15,4","429,2","429,2","87,1",29600,1290,"18,4",1490,937,122,"3,28",192,"4,01","50,8","5,01","44,6",462,1500
W460X60,60,455,153,8,"13,3","428,4","428,4","76,1",25500,1120,"18,3",1280,795,104,"3,23",164,"3,96","33,7","5,73","50,9",387,1490
W460X52,52,450,152,"7,62","10,8","428,4","428,4","66,5",21200,944,"17,9",1090,637,"83,9","3,1",132,"3,84","21,1","7,06","53,5",306,1480
W410X149,149,432,264,"14,9",25,382,382,190,62000,2870,18,3240,7740,585,"6,38",900,"7,42",322,"5,29","24,3",3200,1870
W410X132,132,427,264,"13,3","22,2","382,6","382,6",169,54100,2540,"17,9",2870,6780,515,"6,32",788,"7,32",227,"5,92",27,2740,1870
W410X114,114,419,262,"11,6","19,3","380,4","380,4",146,46200,2200,"17,8",2460,5740,441,"6,27",674,"7,24",149,"6,77","31,2",2310,1840
W410X100,100,414,259,10,"16,9","380,2","380,2",126,39700,1920,"17,7",2130,4950,380,"6,25",582,"7,16","99,5","7,7","35,9",1960,1830
W410X85,85,417,181,"10,9","18,2","380,6","380,6",108,31600,1510,"17,1",1720,1790,198,"4,06",310,"4,88","92,4","4,98",33,714,1520
W410X75,75,414,180,"9,65",16,382,382,"94,8",27400,1330,17,1510,1550,172,"4,04",267,"4,80","63,3","5,61","37,4",610,1510
W410X67,67,409,179,"8,76","14,4","380,2","380,2","85,8",24400,1190,"16,9",1350,1370,153,"3,99",238,"4,75","46,2","6,23","41,1",534,1500
W410X60,60,406,178,"7,75","12,8","380,4","380,4","76,1",21600,1060,"16,8",1200,1200,135,"3,99",208,"4,72",33,"6,93","46,5",465,1490
W410X53,53,404,178,"7,49","10,9","382,2","382,2","68,4",18600,926,"16,5",1050,1020,115,"3,86",177,"4,65","22,7","8,12","48,1",392,1490
W410X46.1,"46,1",404,140,"6,99","11,2","381,6","381,6","58,9",15600,773,"16,3",885,516,"73,6","2,97",115,"3,61","19,2","6,28","51,6",198,1340
W410X38.8,"38,8",399,140,"6,35","8,76","381,48","381,48","49,5",12500,629,"15,9",724,399,"57,2","2,84","89,8","3,51","10,9","7,97","56,8",152,1330
W360X1086,1090,569,455,78,125,319,319,1390,595000,21000,"20,8",27200,196000,8640,"11,9",13400,"14,40",60400,"1,82","3,71",97200,2770
W360X990,990,549,450,"71,9",115,319,319,1260,516000,18800,"20,3",24300,174000,7730,"11,7",12000,"14,10",46600,"1,95","4,03",81900,2720
W360X900,900,531,442,66,106,319,319,1150,450000,17000,"19,8",21600,153000,6930,"11,6",10700,"13,80",36200,"2,09","4,39",69300,2670
W360X818,818,513,437,"60,5",97,319,319,1050,393000,15300,"19,4",19300,135000,6190,"11,4",9550,"13,60",27800,"2,25","4,79",58800,2620
W360X744,744,498,432,"55,6","88,9","320,2","320,2",948,342000,13700,19,17200,120000,5560,"11,3",8550,"13,40",21400,"2,43","5,21",50200,2590
W360X677,677,483,427,"51,3","81,5",320,320,865,299000,12400,"18,6",15300,107000,4980,"11,1",7670,"13,10",16400,"2,62","5,66",43000,2540
W360X634,634,475,424,"47,8","77,2","320,6","320,6",806,275000,11600,"18,4",14200,98200,4640,11,7110,"13,00",13800,"2,75","6,08",38700,2520
W360X592,592,465,422,45,"72,4","320,2","320,2",755,250000,10700,"18,2",13100,90300,4290,"10,9",6590,"12,80",11400,"2,92","6,44",34600,2500
W360X551,551,455,419,"42,2","67,6","319,8","319,8",703,226000,9950,18,12100,82800,3950,"10,8",6060,"12,70",9240,"3,1","6,89",31200,2480
W360X509,509,445,417,"39,1","62,7","319,6","319,6",652,204000,9140,"17,7",11000,75300,3620,"10,8",5540,"12,60",7410,"3,31","7,41",27700,2450
W360X463,463,434,411,"35,8","57,4","319,2","319,2",590,180000,8290,"17,5",9880,67000,3260,"10,7",4980,"12,40",5660,"3,59","8,09",23900,2420
W360X421,421,424,409,"32,8","52,6","318,8","318,8",537,160000,7520,"17,2",8880,59900,2930,"10,6",4490,"12,20",4330,"3,89","8,84",20900,2390
W360X382,382,417,406,30,48,321,321,488,142000,6800,17,7980,53700,2640,"10,5",4030,"12,10",3290,"4,23","9,71",18200,2370
W360X347,347,406,404,"27,2","43,7","318,6","318,6",442,125000,6150,"16,8",7140,47900,2380,"10,4",3620,"11,90",2480,"4,62","10,7",15800,2350
W360X314,314,399,401,"24,9","39,6","319,8","319,8",400,111000,5540,"16,6",6390,42900,2130,"10,3",3240,"11,80",1860,"5,06","11,6",13800,2330
W360X287,287,394,399,"22,6","36,6","320,8","320,8",366,99900,5080,"16,5",5820,38800,1950,"10,3",2950,"11,70",1450,"5,45","12,8",12300,2310
W360X262,262,386,399,"21,1","33,3","319,4","319,4",334,89100,4600,"16,3",5240,34900,1750,"10,2",2670,"11,60",1100,"5,97","13,7",10900,2300
W360X237,237,381,396,"18,9","30,2","320,6","320,6",301,79100,4160,"16,2",4700,31100,1580,"10,2",2390,"11,50",820,"6,54","15,3",9560,2280
W360X216,216,376,394,"17,3","27,7","320,6","320,6",275,71200,3800,"16,1",4260,28200,1430,"10,1",2180,"11,40",633,"7,11","16,8",8510,2270
W360X196,196,373,373,"16,4","26,2","320,6","320,6",250,63700,3420,16,3830,22800,1220,"9,55",1850,"10,70",512,"7,15","17,7",6850,2180
W360X179,179,368,373,15,"23,9","320,2","320,2",228,57400,3110,"15,8",3470,20600,1110,"9,5",1670,"10,70",390,"7,8","19,3",6100,2170
W360X162,162,363,371,"13,3","21,8","319,4","319,4",206,51600,2830,"15,8",3150,18600,1000,"9,47",1520,"10,60",296,"8,49","21,7",5420,2160
W360X147,147,361,371,"12,3","19,8","321,4","321,4",188,46200,2570,"15,7",2830,16700,905,"9,42",1370,"10,50",224,"9,34","23,5",4830,2150
W360X134,134,356,368,"11,2",18,320,320,171,41600,2340,"15,6",2570,15100,818,"9,4",1240,"10,40",169,"10,2","25,9",4300,2140
W360X122,122,363,257,13,"21,7","319,6","319,6",155,36700,2020,"15,4",2280,6160,480,"6,3",734,"7,24",211,"5,92","22,4",1800,1700
W360X110,110,361,257,"11,4","19,9","321,2","321,2",141,33100,1840,"15,3",2060,5580,436,"6,3",664,"7,19",161,"6,41","25,4",1610,1700
W360X101,101,356,254,"10,5","18,3","319,4","319,4",129,30100,1690,"15,3",1880,5040,397,"6,25",605,"7,11",125,"6,97","27,5",1440,1680
W360X91,91,353,254,"9,53","16,4","320,2","320,2",115,26600,1510,"15,2",1670,4450,352,"6,22",537,"7,06","91,2","7,75","30,4",1260,1680
W360X79,79,353,205,"9,4","16,8","319,4","319,4",101,22500,1270,15,1430,2400,234,"4,88",361,"5,64","80,7","6,11","30,9",682,1480
W360X72,72,351,204,"8,64","15,1","320,8","320,8",91,20100,1150,"14,9",1280,2140,210,"4,85",321,"5,59","60,4","6,75","33,6",602,1470
W360X64,64,348,203,"7,75","13,5",321,321,"81,3",17800,1030,"14,8",1140,1880,185,"4,8",283,"5,54","43,7","7,54","37,4",524,1470
W360X57.8,"57,8",358,172,"7,87","13,1","331,8","331,8","72,3",16000,895,"14,9",1010,1110,129,"3,94",198,"4,62","33,2","6,57","39,6",330,1370
W360X51,51,356,171,"7,24","11,6","332,8","332,8","64,5",14200,796,"14,8",895,970,113,"3,89",174,"4,57","23,7","7,41","43,1",287,1360
W360X44,44,351,171,"6,86","9,78","331,44","331,44","57,1",12100,688,"14,6",775,816,"95,4","3,78",147,"4,50","15,8","8,74","45,4",238,1350
W360X39,39,353,128,"6,48","10,7","331,6","331,6","49,6",10200,578,"14,4",659,371,"58,2","2,74","90,8","3,30","14,9","5,98","48,1",109,1190
W360X32.9,"32,9",348,127,"5,84","8,51","330,98","330,98","41,9",8280,475,"14,1",544,291,"45,9","2,64","71,9","3,23","8,66","7,46","53,3","84,3",1180
W310X500,500,427,340,"45,2","75,2","276,6","276,6",638,169000,7910,"16,3",9880,49500,2900,"8,81",4490,"10,50",10100,"2,26","5,47",15300,2100
W310X454,454,414,335,"41,4","68,8","276,4","276,4",577,148000,7130,16,8800,43700,2610,"8,69",4000,"10,30",7700,"2,45","5,98",13100,2060
W310X415,415,404,333,"38,9","62,7","278,6","278,6",528,129000,6440,"15,6",7880,39000,2340,"8,59",3610,"10,20",5950,"2,66","6,35",11300,2030
W310X375,375,391,330,"35,6","57,2","276,6","276,6",478,113000,5780,"15,4",7010,34500,2080,"8,48",3210,"9,98",4500,"2,89","6,96",9610,2010
W310X342,342,384,328,"32,8","52,6","278,8","278,8",437,101000,5260,"15,2",6330,30900,1880,"8,41",2900,"9,83",3490,"3,11","7,56",8380,1990
W310X313,313,373,325,30,"48,3","276,4","276,4",399,89100,4790,15,5700,27600,1700,"8,33",2610,"9,68",2690,"3,37","8,23",7300,1960
W310X283,283,366,323,"26,9","44,2","277,6","277,6",361,78700,4310,"14,8",5100,24500,1520,"8,26",2340,"9,58",2030,"3,65","9,16",6340,1940
W310X253,253,356,320,"24,4","39,6","276,8","276,8",323,68700,3850,"14,6",4510,21500,1350,"8,18",2060,"9,40",1480,"4,03","10,1",5400,1920
W310X226,226,348,318,"22,1","35,6","276,8","276,8",288,59500,3420,"14,4",3980,18900,1190,"8,1",1820,"9,30",1070,"4,46","11,2",4620,1890
W310X202,202,340,315,"20,1","31,8","276,4","276,4",257,51600,3050,"14,2",3510,16600,1050,"8,03",1610,"9,17",770,"4,96","12,3",3950,1870
W310X179,179,333,312,18,"28,2","276,6","276,6",227,44500,2670,14,3050,14400,918,"7,95",1400,"9,04",537,"5,57","13,7",3330,1850
W310X158,158,328,310,"15,5","25,1","277,8","277,8",201,38800,2380,"13,9",2690,12500,808,"7,9",1230,"8,94",380,"6,17","15,9",2870,1840
W310X143,143,323,310,14,"22,9","277,2","277,2",182,34700,2150,"13,8",2410,11200,728,"7,85",1110,"8,86",285,"6,76","17,7",2530,1830
W310X129,129,318,307,"13,1","20,6","276,8","276,8",165,30800,1930,"13,7",2160,10000,651,"7,8",990,"8,79",212,"7,48","18,9",2220,1810
W310X117,117,315,307,"11,9","18,7","277,6","277,6",150,27600,1750,"13,6",1950,8990,587,"7,75",890,"8,71",160,"8,22","20,7",1970,1810
W310X107,107,312,305,"10,9",17,278,278,136,24800,1600,"13,5",1770,8120,531,"7,72",806,"8,66",122,"8,99","22,6",1760,1800
W310X97,97,307,305,"9,91","15,4","276,2","276,2",123,22200,1440,"13,4",1590,7240,477,"7,67",723,"8,59","90,7","9,92","24,9",1550,1790
W310X86,86,310,254,"9,14","16,3","277,4","277,4",110,19800,1280,"13,4",1420,4450,351,"6,38",533,"7,14","87,4","7,82",27,959,1590
W310X79,79,307,254,"8,76","14,6","277,8","277,8",101,17700,1160,"13,3",1280,3990,315,"6,3",477,"7,09","65,8","8,69","28,1",849,1590
W310X74,74,310,205,"9,4","16,3","277,4","277,4","94,2",16300,1050,"13,2",1180,2340,228,"4,98",349,"5,72","71,2","6,31","26,8",505,1400
W310X67,67,307,204,"8,51","14,6","277,8","277,8","84,5",14500,946,"13,1",1050,2080,203,"4,95",311,"5,66","52,4",7,"29,6",443,1390
W310X60,60,302,203,"7,49","13,1","275,8","275,8","75,5",12800,844,13,934,1840,180,"4,93",275,"5,61","37,7","7,77","33,6",387,1380
